numero-experimentation,type-experimentation,site-essai,systeme-essai,lot-cellules,passage,stress,temps-traitement,genes-analyses,proteine-correspondante,proteines-analysees,gene-correspondant,projet,nom-item,numero-item,type-echantillon,nom-r-et-d,nom-commercial,reference-produit,pourcentage-produit,genre,espece,fold-change,augmentation-diminution,notation
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,LUM,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,P4HA1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,PCOLCE,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,SERPINH1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,SPARC,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,MMP1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,MMP14,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,MMP2,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,ITGB1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,COL4A1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,COL7A1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,LAMA4,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,LAMB1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,LAMC1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,NID1,,,,P18-34,NT,,ref,,,,,,,1,Ref,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,BGN,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"3,505",251 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,CD44,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"4,592",359 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,COL1A1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"3,39",239 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,COL3A1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"2,908",191 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,COL5A1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"2,964",196 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,VCAN,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"3,127",213 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,DCN,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"1,899",90 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,ELN,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"2,199",120 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,FBN1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"2,657",166 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,FN1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"3,286",229 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,HAS2,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,n.d,n.d,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,HSPG2,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,n.d,n.d,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,LUM,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"1,925",93 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,P4HA1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"6,097",510 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,PCOLCE,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"2,663",166 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,SERPINH1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"3,383",238 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,SPARC,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"3,658",266 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,MMP1,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"7,353",635 %,
22-PCA-04,PCA,CODIF INTERNATIONAL,NHDF,F008120,R5,Pas de stress,72h,MMP14,,,,P18-34,Isodon,I21-122,substance principale,,J-DERMIST,ALGxxx,"0,20 %",Isodon,japonicus,"3,363",236 %,
